TransactionID,Date,AccountID,Amount,Category,Type,AccountType,BalanceAfter
139,2024-06-12,JFLS61038117893878,-130.74,Groceries,Payment,Checking,14396.43
140,2024-06-16,RDIR95187347122273,-568.24,Groceries,Payment,Checking,7346.68
141,2024-06-10,LDBW08410507479399,-892.14,Education,Payment,Savings,5172.65
142,2024-06-26,HGGG95804895353095,-17.76,Rent,Payment,Checking,5928.79
143,2024-06-19,CLWT89273541434480,-555.39,Education,Payment,Savings,9516.35
144,2024-06-28,AKLV18713785454455,-577.96,Groceries,Payment,Savings,6611.47
145,2024-06-02,JFLS61038117893878,734.55,Transfer,Transfer,Credit,15910.12
146,2024-06-21,IIRV20637118439597,128.91,Transfer,Transfer,Savings,1272.0
147,2024-06-20,JHXD04521580830983,-103.86,Groceries,Payment,Checking,15644.21
148,2024-06-13,HGGG95804895353095,656.58,Deposit,Deposit,Savings,9651.08
149,2024-06-27,QEPY19311811734994,-589.1,Entertainment,Payment,Credit,4479.04
150,2024-06-03,MJZY03548470638907,-575.15,Entertainment,Payment,Savings,10208.84
151,2024-06-12,IIRV20637118439597,603.93,Transfer,Transfer,Credit,2720.58
152,2024-06-17,IEUY69253030840345,-295.99,Entertainment,Payment,Credit,6382.18
153,2024-06-28,JHXD04521580830983,569.68,Deposit,Deposit,Savings,572.79
154,2024-06-08,AQYN34163980522424,587.92,Deposit,Deposit,Checking,16854.94
155,2024-06-23,AQYN34163980522424,285.69,Salary,Deposit,Credit,8198.86
156,2024-06-23,JFLS61038117893878,-1059.73,Rent,Payment,Savings,17955.38
157,2024-06-03,PWRK82192565561785,642.15,Deposit,Deposit,Savings,11576.31
158,2024-06-27,FKYN81744769398058,142.61,Transfer,Transfer,Savings,8973.32
159,2024-06-26,AKLV18713785454455,-696.97,Entertainment,Payment,Checking,18149.88
160,2024-06-16,AKLV18713785454455,-207.6,Education,Payment,Checking,1444.91
161,2024-06-23,CORS02984494825627,-736.13,Education,Payment,Checking,10993.14
162,2024-06-19,SLGF46504138836378,-847.58,Education,Payment,Credit,9752.95
163,2024-06-13,FCVG44318703116956,253.8,Transfer,Transfer,Savings,10054.25
164,2024-06-22,NPBB85400192879548,-789.01,Withdrawal,Withdrawal,Checking,7990.29
165,2024-06-17,JHXD04521580830983,-623.83,Education,Payment,Credit,5858.44
166,2024-06-28,TDIP27982973357544,746.62,Deposit,Deposit,Checking,19659.98
167,2024-06-12,PWRK82192565561785,1069.04,Salary,Deposit,Savings,16420.68
168,2024-06-27,CORS02984494825627,426.38,Salary,Deposit,Checking,6600.37
169,2024-06-05,CLWT89273541434480,273.88,Deposit,Deposit,Credit,1554.3
170,2024-06-02,AQYN34163980522424,-233.15,Education,Payment,Savings,4998.14
171,2024-06-09,CORS02984494825627,-255.26,Rent,Payment,Credit,18716.78
172,2024-06-09,JFLS61038117893878,-476.87,Withdrawal,Withdrawal,Savings,19563.76
173,2024-06-26,IEUY69253030840345,-602.35,Withdrawal,Withdrawal,Savings,13807.1
174,2024-06-24,AKLV18713785454455,-583.01,Withdrawal,Withdrawal,Savings,12309.25
175,2024-06-21,SLGF46504138836378,748.15,Deposit,Deposit,Savings,2325.11
176,2024-06-01,LDBW08410507479399,-503.9,Withdrawal,Withdrawal,Checking,10117.1
177,2024-06-14,TDIP27982973357544,-936.06,Healthcare,Payment,Checking,4593.24
178,2024-06-11,FKYN81744769398058,-420.6,Groceries,Payment,Savings,12289.73
179,2024-06-06,LOXU36202566279298,-1316.05,Education,Payment,Savings,7779.79
180,2024-06-24,LOXU36202566279298,687.7,Transfer,Transfer,Checking,8038.33
181,2024-06-15,IEUY69253030840345,-242.85,Utilities,Payment,Savings,12839.24
182,2024-06-27,ZRSQ51850119356132,-178.73,Entertainment,Payment,Checking,4973.0
183,2024-06-24,CLWT89273541434480,-644.74,Healthcare,Payment,Savings,4657.07
184,2024-06-25,FKYN81744769398058,-432.96,Utilities,Payment,Checking,12807.77
185,2024-06-29,JHXD04521580830983,-714.2,Entertainment,Payment,Checking,6281.74
186,2024-06-24,QEPY19311811734994,-641.97,Rent,Payment,Checking,17795.7
187,2024-06-03,CORS02984494825627,-478.15,Entertainment,Payment,Savings,17793.93
188,2024-06-19,CORS02984494825627,-245.96,Entertainment,Payment,Checking,14188.31
189,2024-06-08,CIHE35254372128761,-45.55,Education,Payment,Credit,19904.36
190,2024-06-23,LDBW08410507479399,-366.05,Rent,Payment,Credit,12232.31
191,2024-06-20,PWRK82192565561785,-756.92,Rent,Payment,Credit,7496.67
192,2024-06-19,CLWT89273541434480,-564.23,Entertainment,Payment,Credit,18652.38
193,2024-06-29,PWRK82192565561785,-126.28,Entertainment,Payment,Credit,7323.74
194,2024-06-28,MJZY03548470638907,-551.95,Education,Payment,Credit,19212.26
195,2024-06-14,JFLS61038117893878,615.6,Salary,Deposit,Credit,15687.98
196,2024-06-02,JFLS61038117893878,234.84,Salary,Deposit,Checking,11905.59
197,2024-06-20,CLWT89273541434480,-546.12,Withdrawal,Withdrawal,Credit,16749.02
198,2024-06-27,CFKA79794624741111,517.46,Transfer,Transfer,Credit,7936.35
199,2024-06-17,IEUY69253030840345,-157.11,Groceries,Payment,Checking,18078.56
200,2024-06-09,AKLV18713785454455,-607.34,Rent,Payment,Checking,2842.11
201,2024-06-06,AQYN34163980522424,668.24,Salary,Deposit,Savings,8975.27
202,2024-06-06,LDBW08410507479399,824.92,Deposit,Deposit,Savings,4300.49
203,2024-06-15,FKYN81744769398058,-816.14,Groceries,Payment,Savings,7112.29
204,2024-06-18,AQYN34163980522424,-86.7,Withdrawal,Withdrawal,Checking,5602.79
205,2024-06-03,ENYA89324856563293,-218.65,Healthcare,Payment,Credit,1390.12
206,2024-06-13,FGXP44350031990818,654.51,Transfer,Transfer,Savings,9164.76
207,2024-06-04,JHXD04521580830983,-654.14,Withdrawal,Withdrawal,Savings,5259.74
208,2024-06-17,CIHE35254372128761,-654.51,Withdrawal,Withdrawal,Credit,3408.27
209,2024-06-13,PWRK82192565561785,-1655.82,Utilities,Payment,Savings,11377.42
210,2024-06-20,SLGF46504138836378,671.27,Deposit,Deposit,Checking,15321.59
211,2024-06-29,NPBB85400192879548,-840.67,Rent,Payment,Checking,16040.04
212,2024-06-13,CIHE35254372128761,786.2,Deposit,Deposit,Checking,12032.67
213,2024-06-17,HGGG95804895353095,-695.42,Groceries,Payment,Credit,13121.37
214,2024-06-16,MJZY03548470638907,-405.42,Education,Payment,Savings,9361.25
215,2024-06-02,AKLV18713785454455,-727.69,Groceries,Payment,Savings,11669.32
216,2024-06-18,MXTS32128673088656,268.15,Deposit,Deposit,Credit,4723.58
217,2024-06-08,FKYN81744769398058,-428.95,Entertainment,Payment,Credit,4801.35
218,2024-06-26,IIRV20637118439597,-354.39,Healthcare,Payment,Savings,17817.79
219,2024-06-29,SLGF46504138836378,-524.56,Entertainment,Payment,Savings,10034.78
220,2024-06-09,TDER61602582124217,-1194.4,Education,Payment,Credit,14156.85
221,2024-06-15,ZRSQ51850119356132,60.18,Salary,Deposit,Checking,17507.02
222,2024-06-29,IEUY69253030840345,-705.88,Healthcare,Payment,Credit,13135.89
223,2024-06-11,SLGF46504138836378,-16.19,Utilities,Payment,Checking,7352.52
224,2024-06-20,AGWE59730611635282,-358.42,Education,Payment,Savings,12008.95
225,2024-06-16,JFLS61038117893878,-826.69,Healthcare,Payment,Savings,13301.11
226,2024-06-06,MJZY03548470638907,-519.28,Healthcare,Payment,Savings,5435.7
227,2024-06-12,JHXD04521580830983,-176.68,Withdrawal,Withdrawal,Savings,16280.76
228,2024-06-17,PWRK82192565561785,285.41,Salary,Deposit,Credit,10986.28
229,2024-06-15,PWRK82192565561785,-703.88,Entertainment,Payment,Checking,12295.37
230,2024-06-23,PWRK82192565561785,-280.89,Rent,Payment,Checking,4422.59
231,2024-06-01,JHXD04521580830983,-564.94,Groceries,Payment,Checking,1745.16
232,2024-06-13,HGGG95804895353095,513.67,Deposit,Deposit,Checking,8096.32
233,2024-06-21,QEPY19311811734994,304.52,Deposit,Deposit,Credit,4857.88
234,2024-06-21,CIHE35254372128761,-1143.18,Groceries,Payment,Checking,1718.88
235,2024-06-28,RDIR95187347122273,-690.18,Healthcare,Payment,Checking,15585.33
236,2024-06-21,MJZY03548470638907,107.54,Deposit,Deposit,Checking,8679.57
237,2024-06-05,IIRV20637118439597,555.94,Transfer,Transfer,Credit,4507.81
238,2024-06-08,LDBW08410507479399,-301.46,Education,Payment,Checking,623.21
239,2024-06-05,IIRV20637118439597,-755.73,Utilities,Payment,Credit,19819.56
240,2024-06-10,MXTS32128673088656,-262.24,Groceries,Payment,Savings,10509.71
241,2024-06-14,SLGF46504138836378,-465.58,Education,Payment,Savings,9787.67
242,2024-06-12,NPBB85400192879548,-651.5,Utilities,Payment,Credit,13487.27
243,2024-06-29,RDIR95187347122273,-759.73,Utilities,Payment,Savings,12053.7
244,2024-06-05,CIHE35254372128761,-139.91,Groceries,Payment,Credit,9290.62
245,2024-06-13,WJZN05944666143769,399.65,Deposit,Deposit,Checking,5295.54
246,2024-06-14,IIRV20637118439597,-357.52,Withdrawal,Withdrawal,Credit,14337.35
247,2024-06-16,MXTS32128673088656,-304.0,Entertainment,Payment,Credit,2726.35
248,2024-06-29,NPBB85400192879548,-1029.64,Utilities,Payment,Savings,18290.29
249,2024-06-24,ENYA89324856563293,621.49,Deposit,Deposit,Savings,18120.7
250,2024-06-20,FCVG44318703116956,121.73,Deposit,Deposit,Credit,14151.38
251,2024-06-01,TDIP27982973357544,-775.36,Utilities,Payment,Savings,17215.88
252,2024-06-21,CLWT89273541434480,-1136.65,Education,Payment,Credit,17738.67
253,2024-06-02,FGXP44350031990818,-809.74,Rent,Payment,Savings,6163.79
254,2024-06-19,LDBW08410507479399,-44.19,Groceries,Payment,Checking,6571.36
255,2024-06-17,TDIP27982973357544,354.73,Salary,Deposit,Savings,8756.89
256,2024-06-16,ZRSQ51850119356132,-880.07,Rent,Payment,Checking,710.91
257,2024-06-12,MJZY03548470638907,-287.7,Rent,Payment,Checking,5741.31
258,2024-06-25,ENYA89324856563293,633.15,Deposit,Deposit,Checking,18279.5
259,2024-06-02,MCAP39619646732552,-732.39,Healthcare,Payment,Checking,16139.07
260,2024-06-13,CIHE35254372128761,-221.92,Entertainment,Payment,Savings,8208.88
261,2024-06-15,MCAP39619646732552,-482.14,Withdrawal,Withdrawal,Savings,11215.04
262,2024-06-15,WJZN05944666143769,-472.38,Entertainment,Payment,Credit,6221.42
263,2024-06-26,JHXD04521580830983,-192.68,Withdrawal,Withdrawal,Credit,1467.76
264,2024-06-20,AQYN34163980522424,424.23,Salary,Deposit,Savings,14888.72
265,2024-06-23,SLGF46504138836378,125.67,Transfer,Transfer,Credit,15879.22
266,2024-06-03,SLGF46504138836378,-989.72,Utilities,Payment,Credit,9792.47
267,2024-06-08,IIRV20637118439597,-70.96,Withdrawal,Withdrawal,Savings,7036.79
268,2024-06-14,HGGG95804895353095,-367.99,Healthcare,Payment,Savings,14429.62
269,2024-06-29,ZRSQ51850119356132,539.22,Salary,Deposit,Savings,3806.77
270,2024-06-28,FGXP44350031990818,932.38,Deposit,Deposit,Credit,5146.56
271,2024-06-17,LDBW08410507479399,-69.24,Withdrawal,Withdrawal,Credit,18230.88
272,2024-06-05,CFKA79794624741111,-848.95,Groceries,Payment,Credit,660.07
273,2024-06-09,WJZN05944666143769,503.07,Transfer,Transfer,Savings,18712.38
274,2024-06-04,AQYN34163980522424,-205.55,Groceries,Payment,Checking,19001.52
275,2024-06-14,CORS02984494825627,-638.63,Utilities,Payment,Savings,714.98
276,2024-06-06,CLWT89273541434480,559.72,Transfer,Transfer,Credit,10888.21
277,2024-06-17,CFKA79794624741111,319.93,Transfer,Transfer,Savings,2883.45
278,2024-06-16,HGGG95804895353095,-520.94,Education,Payment,Credit,19937.75
279,2024-06-25,LDBW08410507479399,384.41,Transfer,Transfer,Credit,14233.07
280,2024-06-01,JHXD04521580830983,-534.06,Utilities,Payment,Credit,860.09
281,2024-06-23,AKLV18713785454455,698.64,Transfer,Transfer,Checking,2620.67
282,2024-06-11,WJZN05944666143769,975.81,Deposit,Deposit,Checking,10156.11
283,2024-06-02,MCAP39619646732552,-128.66,Rent,Payment,Checking,6740.66
284,2024-06-01,MXTS32128673088656,-1139.91,Utilities,Payment,Checking,18062.28
285,2024-06-02,WJZN05944666143769,-85.63,Withdrawal,Withdrawal,Savings,6228.95
286,2024-06-01,MCAP39619646732552,-454.46,Education,Payment,Credit,6653.92
287,2024-06-06,TDER61602582124217,-676.5,Utilities,Payment,Credit,14553.37
288,2024-06-12,QEPY19311811734994,-584.3,Rent,Payment,Credit,12807.34
289,2024-06-24,HGGG95804895353095,-313.19,Groceries,Payment,Credit,11049.15
290,2024-06-14,WJZN05944666143769,-437.56,Utilities,Payment,Checking,15480.68
291,2024-06-29,TDER61602582124217,352.1,Transfer,Transfer,Savings,7105.97
292,2024-06-17,CFKA79794624741111,-323.19,Rent,Payment,Savings,6567.16
293,2024-06-26,WJZN05944666143769,754.88,Salary,Deposit,Checking,4014.09
294,2024-06-23,LDBW08410507479399,-607.1,Utilities,Payment,Credit,5650.67
295,2024-06-09,TDER61602582124217,-292.13,Education,Payment,Savings,19922.95
296,2024-06-09,TDER61602582124217,769.88,Salary,Deposit,Savings,18950.0
297,2024-06-12,TDER61602582124217,-592.19,Healthcare,Payment,Credit,862.75
298,2024-06-02,PWRK82192565561785,-743.86,Entertainment,Payment,Checking,18075.66
299,2024-06-10,LDBW08410507479399,688.89,Salary,Deposit,Credit,18597.88
300,2024-06-13,TDER61602582124217,251.3,Transfer,Transfer,Credit,12216.61
