TransactionID,Date,AccountID,AccountType,TransactionType,Direction,Category,Amount,BalanceAfter
60,2025-06-18,HAEL39742857044931,Savings,Transfer,Inflow,Utilities,41994.64,3153.22
61,2025-06-18,XTQL53725839401030,Checking,Payment,Outflow,Education,196497.21,285963.98
62,2025-06-18,XTQL53725839401030,Checking,Transfer,Inflow,Groceries,48284.57,218483.2
63,2025-06-18,XTQL53725839401030,Checking,Deposit,Inflow,Entertainment,184198.56,61896.61
64,2025-06-18,XTQL53725839401030,Checking,Payment,Outflow,Utilities,13485.44,477311.73
65,2025-06-18,XTQL53725839401030,Checking,Withdrawal,Outflow,Utilities,240233.95,81031.35
66,2025-06-18,XTQL53725839401030,Checking,Withdrawal,Outflow,Utilities,149163.74,675537.34
67,2025-06-18,XTQL53725839401030,Checking,Withdrawal,Outflow,Rent,30851.77,890397.03
68,2025-06-18,XTQL53725839401030,Checking,Withdrawal,Outflow,Entertainment,149035.27,619762.13
69,2025-06-18,XTQL53725839401030,Checking,Transfer,Inflow,Healthcare,146334.4,523259.93
70,2025-06-18,XTQL53725839401030,Checking,Payment,Outflow,Groceries,167761.77,314869.68
71,2025-06-18,LSFM76495633173780,Checking,Transfer,Inflow,Groceries,168250.87,300697.08
72,2025-06-18,LSFM76495633173780,Checking,Payment,Outflow,Education,233997.84,10306.14
73,2025-06-18,LSFM76495633173780,Checking,Deposit,Inflow,Utilities,134870.97,506378.81
74,2025-06-18,LSFM76495633173780,Checking,Withdrawal,Outflow,Salary,220335.18,879390.97
75,2025-06-18,LSFM76495633173780,Checking,Payment,Outflow,Salary,40278.96,833911.21
76,2025-06-18,LSFM76495633173780,Checking,Payment,Outflow,Entertainment,245979.47,807292.84
77,2025-06-18,LSFM76495633173780,Checking,Deposit,Inflow,Healthcare,204458.93,300079.37
78,2025-06-18,LSFM76495633173780,Checking,Deposit,Inflow,Groceries,66852.01,889822.99
79,2025-06-18,LSFM76495633173780,Checking,Withdrawal,Outflow,Salary,71157.31,211419.03
80,2025-06-18,LSFM76495633173780,Checking,Payment,Outflow,Groceries,172186.79,853059.9
81,2025-06-18,JPZK79570086097404,Credit,Transfer,Inflow,Salary,226428.79,846257.61
82,2025-06-18,JPZK79570086097404,Credit,Deposit,Inflow,Healthcare,106470.37,277403.54
83,2025-06-18,JPZK79570086097404,Credit,Deposit,Inflow,Salary,193008.69,637476.26
84,2025-06-18,JPZK79570086097404,Credit,Payment,Outflow,Groceries,185566.5,552128.74
85,2025-06-18,JPZK79570086097404,Credit,Transfer,Inflow,Entertainment,3407.76,76168.62
86,2025-06-18,JPZK79570086097404,Credit,Withdrawal,Outflow,Entertainment,9971.01,369846.77
87,2025-06-18,JPZK79570086097404,Credit,Withdrawal,Outflow,Rent,32733.93,308950.09
88,2025-06-18,JPZK79570086097404,Credit,Deposit,Inflow,Salary,53309.06,250280.21
89,2025-06-18,JPZK79570086097404,Credit,Deposit,Inflow,Salary,195248.94,884250.57
90,2025-06-18,JPZK79570086097404,Credit,Transfer,Inflow,Entertainment,187619.93,925838.06
91,2025-06-18,FSTR93616680314187,Savings,Withdrawal,Outflow,Education,202882.16,881534.79
92,2025-06-18,FSTR93616680314187,Savings,Deposit,Inflow,Groceries,184404.55,332853.28
93,2025-06-18,FSTR93616680314187,Savings,Transfer,Inflow,Education,167806.88,735322.48
94,2025-06-18,FSTR93616680314187,Savings,Withdrawal,Outflow,Salary,40640.26,701576.91
95,2025-06-18,FSTR93616680314187,Savings,Transfer,Inflow,Education,10642.43,471219.33
96,2025-06-18,FSTR93616680314187,Savings,Withdrawal,Outflow,Education,229694.52,350308.77
97,2025-06-18,FSTR93616680314187,Savings,Withdrawal,Outflow,Groceries,6892.44,193936.66
98,2025-06-18,FSTR93616680314187,Savings,Payment,Outflow,Salary,216223.88,966922.21
99,2025-06-18,FSTR93616680314187,Savings,Payment,Outflow,Salary,160728.95,400278.71
100,2025-06-18,FSTR93616680314187,Savings,Payment,Outflow,Utilities,29720.1,970430.21
101,2025-06-18,KTYO40672146001887,Savings,Payment,Outflow,Utilities,27992.23,435129.19
102,2025-06-18,KTYO40672146001887,Savings,Payment,Outflow,Rent,151946.0,511911.64
103,2025-06-18,KTYO40672146001887,Savings,Transfer,Inflow,Entertainment,48329.61,45342.15
104,2025-06-18,KTYO40672146001887,Savings,Transfer,Inflow,Utilities,130460.17,806704.36
105,2025-06-18,KTYO40672146001887,Savings,Withdrawal,Outflow,Salary,108393.05,948925.61
106,2025-06-18,KTYO40672146001887,Savings,Payment,Outflow,Entertainment,79165.0,848167.26
107,2025-06-18,KTYO40672146001887,Savings,Payment,Outflow,Entertainment,78011.88,408984.52
108,2025-06-18,KTYO40672146001887,Savings,Transfer,Inflow,Healthcare,74618.15,128160.51
109,2025-06-18,KTYO40672146001887,Savings,Transfer,Inflow,Healthcare,235150.55,677640.63
110,2025-06-18,KTYO40672146001887,Savings,Withdrawal,Outflow,Entertainment,142707.21,406669.09
111,2025-06-18,ICTV98111950800364,Savings,Payment,Outflow,Salary,53335.49,785973.07
112,2025-06-18,ICTV98111950800364,Savings,Payment,Outflow,Rent,111004.72,675951.61
113,2025-06-18,ICTV98111950800364,Savings,Transfer,Inflow,Education,225394.03,796228.74
114,2025-06-18,ICTV98111950800364,Savings,Withdrawal,Outflow,Healthcare,22114.09,515936.56
115,2025-06-18,ICTV98111950800364,Savings,Payment,Outflow,Utilities,204787.44,751387.0
116,2025-06-18,ICTV98111950800364,Savings,Payment,Outflow,Groceries,201834.16,148206.61
117,2025-06-18,ICTV98111950800364,Savings,Deposit,Inflow,Groceries,246000.07,611662.7
118,2025-06-18,ICTV98111950800364,Savings,Deposit,Inflow,Rent,104195.81,630135.62
119,2025-06-18,ICTV98111950800364,Savings,Withdrawal,Outflow,Healthcare,174392.21,494882.79
120,2025-06-18,ICTV98111950800364,Savings,Withdrawal,Outflow,Groceries,164358.44,6539.27
121,2025-06-18,WNHR25053191161791,Savings,Transfer,Inflow,Groceries,44795.78,958008.08
122,2025-06-18,WNHR25053191161791,Savings,Transfer,Inflow,Utilities,139794.04,917552.54
123,2025-06-18,WNHR25053191161791,Savings,Deposit,Inflow,Rent,34201.44,465178.59
124,2025-06-18,WNHR25053191161791,Savings,Payment,Outflow,Education,222965.06,613039.67
125,2025-06-18,WNHR25053191161791,Savings,Transfer,Inflow,Education,226806.83,446467.7
126,2025-06-18,WNHR25053191161791,Savings,Withdrawal,Outflow,Healthcare,215512.23,450619.69
127,2025-06-18,WNHR25053191161791,Savings,Withdrawal,Outflow,Education,159777.7,766047.87
128,2025-06-18,WNHR25053191161791,Savings,Transfer,Inflow,Healthcare,60572.22,440432.72
129,2025-06-18,WNHR25053191161791,Savings,Payment,Outflow,Groceries,68657.06,320389.86
130,2025-06-18,WNHR25053191161791,Savings,Deposit,Inflow,Groceries,38556.83,383652.26
131,2025-06-18,XBLU28302781962383,Savings,Withdrawal,Outflow,Utilities,104302.11,331550.51
132,2025-06-18,XBLU28302781962383,Savings,Transfer,Inflow,Rent,16504.16,833058.28
133,2025-06-18,XBLU28302781962383,Savings,Transfer,Inflow,Education,146435.77,695827.46
134,2025-06-18,XBLU28302781962383,Savings,Transfer,Inflow,Rent,2468.12,352407.04
135,2025-06-18,XBLU28302781962383,Savings,Transfer,Inflow,Education,223018.74,835892.94
136,2025-06-18,XBLU28302781962383,Savings,Withdrawal,Outflow,Rent,55635.99,436400.14
137,2025-06-18,XBLU28302781962383,Savings,Deposit,Inflow,Rent,84696.26,679462.74
138,2025-06-18,XBLU28302781962383,Savings,Transfer,Inflow,Healthcare,42096.14,467922.76
139,2025-06-18,XBLU28302781962383,Savings,Withdrawal,Outflow,Entertainment,133996.78,907021.93
140,2025-06-18,XBLU28302781962383,Savings,Deposit,Inflow,Utilities,161044.66,136563.79
141,2025-06-18,QPPT12215410457184,Checking,Withdrawal,Outflow,Utilities,65778.92,328025.31
142,2025-06-18,QPPT12215410457184,Checking,Transfer,Inflow,Salary,85037.64,879760.35
143,2025-06-18,QPPT12215410457184,Checking,Payment,Outflow,Education,237849.83,422143.26
144,2025-06-18,QPPT12215410457184,Checking,Deposit,Inflow,Rent,5826.44,539879.63
145,2025-06-18,QPPT12215410457184,Checking,Payment,Outflow,Groceries,162885.88,781451.82
146,2025-06-18,QPPT12215410457184,Checking,Deposit,Inflow,Education,8726.47,248036.02
147,2025-06-18,QPPT12215410457184,Checking,Deposit,Inflow,Entertainment,38943.2,127094.75
148,2025-06-18,QPPT12215410457184,Checking,Deposit,Inflow,Entertainment,236991.5,465568.95
149,2025-06-18,QPPT12215410457184,Checking,Payment,Outflow,Education,92854.9,606286.8
150,2025-06-18,QPPT12215410457184,Checking,Deposit,Inflow,Education,205005.99,964756.05
151,2025-06-18,ZTIJ64910095981755,Savings,Deposit,Inflow,Salary,144373.39,908118.12
152,2025-06-18,ZTIJ64910095981755,Savings,Transfer,Inflow,Rent,235426.18,199131.45
153,2025-06-18,ZTIJ64910095981755,Savings,Withdrawal,Outflow,Utilities,174601.06,302281.1
154,2025-06-18,ZTIJ64910095981755,Savings,Deposit,Inflow,Education,245977.24,782852.71
155,2025-06-18,ZTIJ64910095981755,Savings,Payment,Outflow,Entertainment,107666.13,371200.31
156,2025-06-18,ZTIJ64910095981755,Savings,Payment,Outflow,Utilities,212544.33,822508.59
157,2025-06-18,ZTIJ64910095981755,Savings,Deposit,Inflow,Rent,240236.1,635949.52
158,2025-06-18,ZTIJ64910095981755,Savings,Transfer,Inflow,Healthcare,39094.8,176960.82
159,2025-06-18,ZTIJ64910095981755,Savings,Payment,Outflow,Entertainment,202241.61,538634.73
160,2025-06-18,ZTIJ64910095981755,Savings,Transfer,Inflow,Rent,109458.05,731295.19
161,2025-06-18,IWAH68120952144571,Checking,Payment,Outflow,Education,62128.3,934687.26
162,2025-06-18,IWAH68120952144571,Checking,Payment,Outflow,Rent,61722.0,465243.76
163,2025-06-18,IWAH68120952144571,Checking,Transfer,Inflow,Salary,8146.3,851101.88
164,2025-06-18,IWAH68120952144571,Checking,Withdrawal,Outflow,Rent,53817.84,798034.52
165,2025-06-18,IWAH68120952144571,Checking,Payment,Outflow,Salary,220199.67,701482.57
166,2025-06-18,IWAH68120952144571,Checking,Payment,Outflow,Entertainment,3527.63,948114.52
167,2025-06-18,IWAH68120952144571,Checking,Deposit,Inflow,Groceries,180298.59,489089.27
168,2025-06-18,IWAH68120952144571,Checking,Withdrawal,Outflow,Healthcare,119547.18,712130.56
169,2025-06-18,IWAH68120952144571,Checking,Transfer,Inflow,Education,5293.57,294941.35
170,2025-06-18,IWAH68120952144571,Checking,Transfer,Inflow,Healthcare,61582.99,664296.06
171,2025-06-18,GEPP97448713907195,Checking,Transfer,Inflow,Entertainment,133199.56,426078.31
172,2025-06-18,GEPP97448713907195,Checking,Payment,Outflow,Salary,176010.88,271645.51
173,2025-06-18,GEPP97448713907195,Checking,Payment,Outflow,Groceries,31043.32,193391.71
174,2025-06-18,GEPP97448713907195,Checking,Deposit,Inflow,Healthcare,134430.13,762427.42
175,2025-06-18,GEPP97448713907195,Checking,Withdrawal,Outflow,Groceries,54879.78,484714.39
176,2025-06-18,GEPP97448713907195,Checking,Payment,Outflow,Utilities,208324.46,296950.22
177,2025-06-18,GEPP97448713907195,Checking,Payment,Outflow,Groceries,76264.63,708310.47
178,2025-06-18,GEPP97448713907195,Checking,Withdrawal,Outflow,Salary,12333.41,55471.49
179,2025-06-18,GEPP97448713907195,Checking,Payment,Outflow,Healthcare,236078.31,638231.79
180,2025-06-18,GEPP97448713907195,Checking,Transfer,Inflow,Utilities,218307.21,574490.16
181,2025-06-18,QXFX92283966348627,Checking,Transfer,Inflow,Rent,85835.78,965532.15
182,2025-06-18,QXFX92283966348627,Checking,Payment,Outflow,Education,119954.57,822293.53
183,2025-06-18,QXFX92283966348627,Checking,Transfer,Inflow,Rent,19446.46,629816.26
184,2025-06-18,QXFX92283966348627,Checking,Deposit,Inflow,Groceries,38150.2,563276.76
185,2025-06-18,QXFX92283966348627,Checking,Payment,Outflow,Utilities,248485.61,119333.11
186,2025-06-18,QXFX92283966348627,Checking,Transfer,Inflow,Entertainment,149435.58,618799.93
187,2025-06-18,QXFX92283966348627,Checking,Transfer,Inflow,Rent,227217.59,298055.78
188,2025-06-18,QXFX92283966348627,Checking,Transfer,Inflow,Salary,142588.74,61170.07
189,2025-06-18,QXFX92283966348627,Checking,Deposit,Inflow,Education,52739.19,211814.17
190,2025-06-18,QXFX92283966348627,Checking,Deposit,Inflow,Groceries,60726.43,552440.25
191,2025-06-18,IVZD91347610371466,Savings,Deposit,Inflow,Rent,113175.42,594217.38
192,2025-06-18,IVZD91347610371466,Savings,Payment,Outflow,Utilities,58637.58,707248.87
193,2025-06-18,IVZD91347610371466,Savings,Transfer,Inflow,Utilities,172158.85,923987.13
194,2025-06-18,IVZD91347610371466,Savings,Withdrawal,Outflow,Rent,29579.3,225584.64
195,2025-06-18,IVZD91347610371466,Savings,Withdrawal,Outflow,Salary,206831.16,72338.43
196,2025-06-18,IVZD91347610371466,Savings,Withdrawal,Outflow,Education,77595.34,749208.76
197,2025-06-18,IVZD91347610371466,Savings,Payment,Outflow,Rent,31964.06,688989.31
198,2025-06-18,IVZD91347610371466,Savings,Transfer,Inflow,Salary,125617.57,494301.42
199,2025-06-18,IVZD91347610371466,Savings,Deposit,Inflow,Entertainment,10925.34,432596.64
200,2025-06-18,IVZD91347610371466,Savings,Payment,Outflow,Entertainment,63341.61,92235.56
201,2025-06-18,ILJW88702980306456,Credit,Deposit,Inflow,Education,168398.11,270241.51
202,2025-06-18,ILJW88702980306456,Credit,Deposit,Inflow,Education,189310.94,471030.32
203,2025-06-18,ILJW88702980306456,Credit,Transfer,Inflow,Salary,46190.8,585744.3
204,2025-06-18,ILJW88702980306456,Credit,Transfer,Inflow,Utilities,118032.59,408939.75
205,2025-06-18,ILJW88702980306456,Credit,Payment,Outflow,Healthcare,27045.37,161664.03
206,2025-06-18,ILJW88702980306456,Credit,Transfer,Inflow,Healthcare,124371.79,662920.95
207,2025-06-18,ILJW88702980306456,Credit,Transfer,Inflow,Education,190364.44,37660.43
208,2025-06-18,ILJW88702980306456,Credit,Deposit,Inflow,Salary,63847.31,116805.68
209,2025-06-18,ILJW88702980306456,Credit,Transfer,Inflow,Education,129134.47,988131.1
210,2025-06-18,ILJW88702980306456,Credit,Transfer,Inflow,Rent,14496.82,518920.95
211,2025-06-18,PRNA16566934100787,Credit,Transfer,Inflow,Healthcare,111068.2,52560.16
212,2025-06-18,PRNA16566934100787,Credit,Payment,Outflow,Entertainment,33622.29,288741.12
213,2025-06-18,PRNA16566934100787,Credit,Transfer,Inflow,Utilities,8188.49,630392.25
214,2025-06-18,PRNA16566934100787,Credit,Withdrawal,Outflow,Healthcare,40436.16,551288.17
215,2025-06-18,PRNA16566934100787,Credit,Transfer,Inflow,Utilities,56950.46,841564.28
216,2025-06-18,PRNA16566934100787,Credit,Deposit,Inflow,Rent,236818.12,648061.98
217,2025-06-18,PRNA16566934100787,Credit,Withdrawal,Outflow,Rent,233230.61,292569.7
218,2025-06-18,PRNA16566934100787,Credit,Payment,Outflow,Rent,208846.26,980264.39
219,2025-06-18,PRNA16566934100787,Credit,Withdrawal,Outflow,Rent,138265.0,384202.43
220,2025-06-18,PRNA16566934100787,Credit,Withdrawal,Outflow,Education,18382.71,772902.46
221,2025-06-18,MPRA22122368651604,Checking,Payment,Outflow,Education,127426.68,820728.92
222,2025-06-18,MPRA22122368651604,Checking,Payment,Outflow,Healthcare,75340.41,587350.78
223,2025-06-18,MPRA22122368651604,Checking,Transfer,Inflow,Education,38000.26,539042.0
224,2025-06-18,MPRA22122368651604,Checking,Payment,Outflow,Salary,138427.44,543886.63
225,2025-06-18,MPRA22122368651604,Checking,Transfer,Inflow,Salary,217530.82,980793.86
226,2025-06-18,MPRA22122368651604,Checking,Withdrawal,Outflow,Entertainment,96359.74,856156.96
227,2025-06-18,MPRA22122368651604,Checking,Transfer,Inflow,Utilities,80225.91,473503.27
228,2025-06-18,MPRA22122368651604,Checking,Transfer,Inflow,Rent,247115.09,792601.27
229,2025-06-18,MPRA22122368651604,Checking,Withdrawal,Outflow,Rent,241241.29,127120.02
230,2025-06-18,MPRA22122368651604,Checking,Payment,Outflow,Education,25990.79,845194.38
231,2025-06-18,JIZF88865942779995,Savings,Transfer,Inflow,Utilities,180888.51,410568.64
232,2025-06-18,JIZF88865942779995,Savings,Withdrawal,Outflow,Utilities,117903.16,969234.43
233,2025-06-18,JIZF88865942779995,Savings,Payment,Outflow,Entertainment,173483.45,650186.82
234,2025-06-18,JIZF88865942779995,Savings,Payment,Outflow,Education,168915.02,534088.69
235,2025-06-18,JIZF88865942779995,Savings,Payment,Outflow,Healthcare,179960.64,759642.41
236,2025-06-18,JIZF88865942779995,Savings,Deposit,Inflow,Entertainment,18036.77,631529.86
237,2025-06-18,JIZF88865942779995,Savings,Payment,Outflow,Groceries,186944.83,434537.5
238,2025-06-18,JIZF88865942779995,Savings,Deposit,Inflow,Education,158803.21,872706.65
239,2025-06-18,JIZF88865942779995,Savings,Transfer,Inflow,Groceries,173806.29,903520.64
240,2025-06-18,JIZF88865942779995,Savings,Deposit,Inflow,Salary,199239.72,294074.41
241,2025-06-18,WFCF10517446159902,Checking,Transfer,Inflow,Groceries,61805.16,412639.7
242,2025-06-18,WFCF10517446159902,Checking,Withdrawal,Outflow,Groceries,44592.27,609882.3
243,2025-06-18,WFCF10517446159902,Checking,Transfer,Inflow,Entertainment,171100.51,498169.59
244,2025-06-18,WFCF10517446159902,Checking,Withdrawal,Outflow,Groceries,115826.33,254723.36
245,2025-06-18,WFCF10517446159902,Checking,Payment,Outflow,Healthcare,3339.96,804828.44
246,2025-06-18,WFCF10517446159902,Checking,Payment,Outflow,Healthcare,137102.94,74788.04
247,2025-06-18,WFCF10517446159902,Checking,Payment,Outflow,Entertainment,75489.41,962067.04
248,2025-06-18,WFCF10517446159902,Checking,Payment,Outflow,Rent,211480.68,200017.78
249,2025-06-18,WFCF10517446159902,Checking,Transfer,Inflow,Education,121318.81,237968.5
250,2025-06-18,WFCF10517446159902,Checking,Payment,Outflow,Entertainment,74672.23,699579.8
251,2025-06-18,CGHQ01855361343227,Savings,Transfer,Inflow,Salary,3016.39,865202.33
252,2025-06-18,CGHQ01855361343227,Savings,Deposit,Inflow,Entertainment,186547.87,833006.06
253,2025-06-18,CGHQ01855361343227,Savings,Payment,Outflow,Education,199916.17,607457.93
254,2025-06-18,CGHQ01855361343227,Savings,Payment,Outflow,Groceries,159517.85,621270.27
255,2025-06-18,CGHQ01855361343227,Savings,Withdrawal,Outflow,Healthcare,25193.82,627830.65
256,2025-06-18,CGHQ01855361343227,Savings,Deposit,Inflow,Salary,197364.01,34331.17
257,2025-06-18,CGHQ01855361343227,Savings,Payment,Outflow,Healthcare,33721.54,909718.18
258,2025-06-18,CGHQ01855361343227,Savings,Payment,Outflow,Healthcare,104460.27,201594.0
259,2025-06-18,CGHQ01855361343227,Savings,Payment,Outflow,Entertainment,125946.9,273254.82
260,2025-06-18,CGHQ01855361343227,Savings,Withdrawal,Outflow,Salary,228598.19,944243.63
261,2025-06-18,NYGH21090228148390,Checking,Payment,Outflow,Education,29677.26,962930.4
262,2025-06-18,NYGH21090228148390,Checking,Withdrawal,Outflow,Education,241658.55,860280.46
263,2025-06-18,NYGH21090228148390,Checking,Transfer,Inflow,Education,201342.32,366409.27
264,2025-06-18,NYGH21090228148390,Checking,Transfer,Inflow,Utilities,66850.19,124465.15
265,2025-06-18,NYGH21090228148390,Checking,Payment,Outflow,Healthcare,187503.89,262899.25
266,2025-06-18,NYGH21090228148390,Checking,Transfer,Inflow,Education,159998.77,372102.17
267,2025-06-18,NYGH21090228148390,Checking,Withdrawal,Outflow,Rent,7231.14,884350.61
268,2025-06-18,NYGH21090228148390,Checking,Payment,Outflow,Entertainment,56120.43,64153.82
269,2025-06-18,NYGH21090228148390,Checking,Transfer,Inflow,Healthcare,76245.35,408887.56
270,2025-06-18,NYGH21090228148390,Checking,Withdrawal,Outflow,Utilities,236619.12,305060.22
271,2025-06-18,EEOD45732338255828,Checking,Deposit,Inflow,Utilities,59465.21,538009.06
272,2025-06-18,EEOD45732338255828,Checking,Transfer,Inflow,Rent,93381.87,949431.39
273,2025-06-18,EEOD45732338255828,Checking,Transfer,Inflow,Entertainment,185824.98,155368.38
274,2025-06-18,EEOD45732338255828,Checking,Transfer,Inflow,Healthcare,25656.39,489857.69
275,2025-06-18,EEOD45732338255828,Checking,Transfer,Inflow,Salary,9146.36,371159.43
276,2025-06-18,EEOD45732338255828,Checking,Transfer,Inflow,Rent,237688.24,855594.74
277,2025-06-18,EEOD45732338255828,Checking,Deposit,Inflow,Healthcare,92466.4,901794.52
278,2025-06-18,EEOD45732338255828,Checking,Payment,Outflow,Utilities,100136.77,190618.75
279,2025-06-18,EEOD45732338255828,Checking,Deposit,Inflow,Education,206223.58,92581.75
280,2025-06-18,EEOD45732338255828,Checking,Withdrawal,Outflow,Healthcare,160233.74,971122.22
281,2025-06-18,CSOW18613028459779,Savings,Payment,Outflow,Groceries,247216.41,787191.12
282,2025-06-18,CSOW18613028459779,Savings,Withdrawal,Outflow,Utilities,207624.64,554653.58
283,2025-06-18,CSOW18613028459779,Savings,Withdrawal,Outflow,Education,217554.16,329230.99
284,2025-06-18,CSOW18613028459779,Savings,Withdrawal,Outflow,Education,225232.23,3832.72
285,2025-06-18,CSOW18613028459779,Savings,Withdrawal,Outflow,Groceries,135513.65,798715.31
286,2025-06-18,CSOW18613028459779,Savings,Deposit,Inflow,Healthcare,216745.52,132671.43
287,2025-06-18,CSOW18613028459779,Savings,Payment,Outflow,Education,197319.45,589264.07
288,2025-06-18,CSOW18613028459779,Savings,Deposit,Inflow,Groceries,67076.51,127631.79
289,2025-06-18,CSOW18613028459779,Savings,Transfer,Inflow,Entertainment,29298.68,64494.48
